Athena,Well. That was… a little unexpected.,
Athena,"Oh, who am I kidding?! That was COMPLETELY unexpected! My heart feels like it’s about to burst!",sfx-punch2.wav
Widget,Because YOU screwed up!,
Athena,WIDGET!!!,sfx-damage.wav
Athena,"Well, that isn’t exactly wrong, though, is it?",
Athena,I DID screw up. Absolutely. All because I didn’t feel I had any other choice.,
Athena,(I had no proof. I was just desperate. I couldn’t face the possibility that Turning and Scootaloo would be found guilty.),
Athena,"(But by accusing Zecora, I risked putting HER in danger. Someone who I had no reason to doubt!)",
Athena,(But that’s not the worst thing I did...),
Athena,"(I hurt Twilight, too… She tried to stop me, but I didn’t listen. And because of that, we almost LOST.)",
Athena,"(I want to say everything managed to turn out alright in the end, but that certainly wasn’t because of anything I did.)",
Athena,(It was thanks to Twilight jumping in… And Prosecutor Luna trying to guide me the whole way through…),
Athena,(... Everyone else trying to fix my one massive mistake…),
Athena,"Twilight, I-",sfx-lightbulb.wav
Twilight,"Athena, are—",
Athena,Agh… sorry. You first.,
Twilight,"No, go ahead.",
Athena,Oh… okay. H-how are you feeling?,
Twilight,I feel like I should be asking YOU that.,
Athena,"Ha, ha, well, y’know, I’m fine. I’m Athena Cykes and I’m fine!",sfx-punch2.wav
Twilight,…,
Athena,…,
Athena,It was worth a shot...,
Athena,"Okay, I’m NOT fine. Not in the slightest. But can you blame me? After what I did—I don’t know how you can even look at me right now.",
Twilight,It’s true that you made a mistake. But—,
Athena,It was more than a mistake. It was almost catastrophic!,sfx-stab2.wav
Athena,"Er, sorry. Go on.",
Twilight,"As I was saying, it’s true that you made a mistake. But you recognized that you did, and apologized for it. And Zecora accepted your apology.",
Athena,"But that doesn’t change WHAT I did, Twilight. It was stupid—it was BEYOND stupid, and I shouldn’t have done it in the first place.",sfx-damage.wav
Twilight,"W-well, I suppose it WAS a little rash…",
Athena,"The worst of it, though, was that I couldn’t fix my mistakes on my own. If it wasn’t for you and Prosecutor Luna, Turning and Scootaloo would have… they would have…",
Athena,"Let’s face it, Twilight. I’m a lousy defense attorney.",
Athena,"And after what happened there, forget not being good enough to be a lawyer. I don’t even DESERVE to be one...",
Twilight,"Oh, Athena…",
Athena,I bet Mr. Wright wouldn’t have had to do what I did.,
Phoenix,"Well, that’s not exactly true.",sfx-lightbulb.wav
Athena,B-Boss?!,sfx-punch2.wav
Twilight,P-Phoenix?!,
Athena,W-what are you doing here? Shouldn’t you be with the others?,
Phoenix,"I was, but I wanted to stop by and give my compliments. You two did a great job out there, Athena, all things considered.",
